step,path,raw_bytes,resident_bytes,mode,encode_seconds
0,blocks.0.P,33554432,0,RECOMPUTE,0.0
0,blocks.1.P,33554432,0,RECOMPUTE,0.0
0,blocks.2.P,33554432,0,RECOMPUTE,0.0
0,blocks.3.P,33554432,0,RECOMPUTE,0.0
0,blocks.4.P,33554432,0,RECOMPUTE,0.0
0,blocks.5.P,33554432,0,RECOMPUTE,0.0
0,blocks.6.P,33554432,0,RECOMPUTE,0.0
0,blocks.7.P,33554432,0,RECOMPUTE,0.0
1,blocks.0.P,33554432,0,RECOMPUTE,0.0
1,blocks.1.P,33554432,0,RECOMPUTE,0.0
1,blocks.2.P,33554432,0,RECOMPUTE,0.0
1,blocks.3.P,33554432,0,RECOMPUTE,0.0
1,blocks.4.P,33554432,0,RECOMPUTE,0.0
1,blocks.5.P,33554432,0,RECOMPUTE,0.0
1,blocks.6.P,33554432,0,RECOMPUTE,0.0
1,blocks.7.P,33554432,0,RECOMPUTE,0.0
2,blocks.0.P,33554432,0,RECOMPUTE,0.0
2,blocks.1.P,33554432,0,RECOMPUTE,0.0
2,blocks.2.P,33554432,0,RECOMPUTE,0.0
2,blocks.3.P,33554432,0,RECOMPUTE,0.0
2,blocks.4.P,33554432,0,RECOMPUTE,0.0
2,blocks.5.P,33554432,0,RECOMPUTE,0.0
2,blocks.6.P,33554432,0,RECOMPUTE,0.0
2,blocks.7.P,33554432,0,RECOMPUTE,0.0
3,blocks.0.P,33554432,0,RECOMPUTE,0.0
3,blocks.1.P,33554432,0,RECOMPUTE,0.0
3,blocks.2.P,33554432,0,RECOMPUTE,0.0
3,blocks.3.P,33554432,0,RECOMPUTE,0.0
3,blocks.4.P,33554432,0,RECOMPUTE,0.0
3,blocks.5.P,33554432,0,RECOMPUTE,0.0
3,blocks.6.P,33554432,0,RECOMPUTE,0.0
3,blocks.7.P,33554432,0,RECOMPUTE,0.0
4,blocks.0.P,33554432,0,RECOMPUTE,0.0
4,blocks.1.P,33554432,0,RECOMPUTE,0.0
4,blocks.2.P,33554432,0,RECOMPUTE,0.0
4,blocks.3.P,33554432,0,RECOMPUTE,0.0
4,blocks.4.P,33554432,0,RECOMPUTE,0.0
4,blocks.5.P,33554432,0,RECOMPUTE,0.0
4,blocks.6.P,33554432,0,RECOMPUTE,0.0
4,blocks.7.P,33554432,0,RECOMPUTE,0.0
5,blocks.0.P,33554432,0,RECOMPUTE,0.0
5,blocks.1.P,33554432,0,RECOMPUTE,0.0
5,blocks.2.P,33554432,0,RECOMPUTE,0.0
5,blocks.3.P,33554432,0,RECOMPUTE,0.0
5,blocks.4.P,33554432,0,RECOMPUTE,0.0
5,blocks.5.P,33554432,0,RECOMPUTE,0.0
5,blocks.6.P,33554432,0,RECOMPUTE,0.0
5,blocks.7.P,33554432,0,RECOMPUTE,0.0
6,blocks.0.P,33554432,0,RECOMPUTE,0.0
6,blocks.1.P,33554432,0,RECOMPUTE,0.0
6,blocks.2.P,33554432,0,RECOMPUTE,0.0
6,blocks.3.P,33554432,0,RECOMPUTE,0.0
6,blocks.4.P,33554432,0,RECOMPUTE,0.0
6,blocks.5.P,33554432,0,RECOMPUTE,0.0
6,blocks.6.P,33554432,0,RECOMPUTE,0.0
6,blocks.7.P,33554432,0,RECOMPUTE,0.0
7,blocks.0.P,33554432,0,RECOMPUTE,0.0
7,blocks.1.P,33554432,0,RECOMPUTE,0.0
7,blocks.2.P,33554432,0,RECOMPUTE,0.0
7,blocks.3.P,33554432,0,RECOMPUTE,0.0
7,blocks.4.P,33554432,0,RECOMPUTE,0.0
